,【结束关卡】
夜小桃,帷幕升起，灯光打亮。
夜小桃,最终幕，上演了。
夜小桃,缺少的主角的终章，该如何奏响？
夜小桃,我不知道，对于世界，我一无所知。
谛听（狐狸形态）,吱吱……
狐婆婆,怎么？还没从「临界」中恢复过来吗？
谛听,别嘲笑我了，奶奶，谁知道一个七八岁小孩的「私之界」居然那么危险！
狐婆婆,传说老人和孩子会看到普通人看不到的东西。
狐婆婆,孩子的眼睛中总是充满各类不可思议的东西。
狐婆婆,祂可能是美好的，也可能是恐怖的，日常中平平无奇的东西，也可能变成孩子眼中莫大的灾难。
谛听,因为不能接受自己的宠物离世，就痛苦了坠入了「临界」？
谛听,呵，还真是孩子气式的崩溃。
谛听,不过也是，面对死亡，或许这是小孩们最担心的问题。
狐婆婆,我们也一样。
谛听（？）,奶奶？
狐婆婆,已经第三个月了，老太婆我才终于敢确认，自己不是老眼昏花。
谛听（？）,奶奶，您在说什么呢？
狐婆婆,你在「临界」中收集了那么多自己不愿忘记的「纯币」，难道还不能唤醒你吗？
谛听（？）,嘶……脑袋好痛！
夜小桃,说好了，我们要一辈子在一起，永远不分开。
谛听（？）,不，小桃，我们没办法在一起。
夜小桃,为什么要露出这样伤心的表情呢，不管什么困难，我都会陪你一起！
谛听（？）,不，小桃，你不能，你不应该……
夜小桃,谛听，救救我！
,【切黑幕，插入一张CG，女主坠崖】
谛听（?）,不！为什么要让我回忆起这些？明明全部都是痛苦的记忆。
谛听（?）,痛苦的记忆，让我忘记就好了呀！为什么要做这种坏心眼的事情。
狐婆婆,孩子，差不多也该摘下你的面具了吧？
谛听（？）,……？
狐婆婆,你没有义务代替谛听成为「守夜人」，也没有资格假装成我的孙子。
谛听（？）,……
,【摘下面具，谛听原来是夜小桃】
夜小桃,所以，一直在逃避的……其实是我吗？
夜小桃,因为不愿意接受谛听离开的事实，所以选择戴上面具，伪装成他欺骗自己吗？
夜小桃,可是……他是因为我，才遇难的啊！
夜小桃,如果不是为了救我，谛听也不会掉下山崖，尸骨无存……
夜小桃,他的人生不该这样结束，我必须给他完整的一生。
夜小桃,我不该从大家身边夺走他，我有义务，成为他！
谛听（狐狸）,住手吧，小桃，你已经做得足够多了。
夜小桃,谛听，是你吗？对不起……我不该不听你的话，硬要去无人区爬山……
谛听（狐狸）,听我说，小桃，我不会责怪你，无论如何，我希望你幸福。
谛听（狐狸）,如果重来一回，我也会义无反顾地救你，因为我爱你。
谛听（狐狸）,奶奶，对不起，夜晚结束了，梦该醒了。
狐婆婆,哼，我不会替你爹原谅你，我折了那么多纸钱，没想到自己却没用上。
谛听（狐狸）,……
谛听（狐狸）,可这就是生活。小桃，摘下面具吧，你不必扮演任何人，成为你自己吧。
夜小桃,可是，那你怎么办？
谛听（狐狸）,我？当然是回到属于我的地方。
谛听,勇敢向前走吧，痛苦也好快乐也罢，那些回忆会成为你最宝贵的财富，是你对抗悲剧与不幸的力量，「灵狐」会在你身后保护你。
谛听,走向明天吧。
谛听,因为长夜将尽。
,【流程结束，放制作人名单】
